Country	Date	cases	deaths	Cumulative_number_for_14_days_of_COVID-19_cases_per_100000	ID
Belize	04/13/20	1	0	3.07415634	Q242
Belize	04/12/20	3	0	2.81797664	Q242
Belize	04/11/20	1	1	2.04943756	Q242
Belize	04/10/20	1	0	1.79325786	Q242
Belize	04/09/20	1	0	1.53707817	Q242
Belize	04/08/20	0	0	1.53707817	Q242
Belize	04/07/20	2	0	1.53707817	Q242
Belize	04/06/20	1	1	1.28089847	Q242
Belize	04/05/20	0	0		Q242
Belize	04/04/20	1	0		Q242
Belize	04/03/20	0	0		Q242
Belize	04/02/20	0	0		Q242
Belize	04/01/20	0	0		Q242
Belize	03/31/20	1	0		Q242
Belize	03/30/20	0	0		Q242
Belize	03/29/20	0	0		Q242
Belize	03/28/20	0	0		Q242
Belize	03/27/20	0	0		Q242
Belize	03/26/20	1	0		Q242
Belize	03/25/20	0	0		Q242
Belize	03/24/20	1	0		Q242
Benin	10/28/20	0	0	1.23716746	Q962
Benin	10/27/20	0	0	1.23716746	Q962
Benin	10/26/20	0	0	1.23716746	Q962
Benin	10/25/20	0	0	1.23716746	Q962
Benin	10/24/20	0	0	1.23716746	Q962
Benin	10/23/20	0	0	1.23716746	Q962
Benin	10/22/20	61	0	1.23716746	Q962
Benin	10/21/20	0	0	1.17785121	Q962
Benin	10/20/20	0	0	1.17785121	Q962
Benin	10/19/20	0	0	1.17785121	Q962
Benin	10/18/20	0	0	1.17785121	Q962
Benin	10/17/20	0	0	1.17785121	Q962
Benin	10/16/20	18	0	1.17785121	Q962
Benin	10/15/20	67	0	1.02532372	Q962
Benin	10/14/20	0	0	0.60163623	Q962
Benin	10/13/20	0	0	0.60163623	Q962
Benin	10/12/20	0	0	0.60163623	Q962
Benin	10/11/20	0	0	0.72874248	Q962
Benin	10/10/20	0	0	0.72874248	Q962
Benin	10/09/20	0	0	0.72874248	Q962
Benin	10/08/20	54	0	0.72874248	Q962
Benin	10/07/20	0	0	0.53384623	Q962
Benin	10/06/20	0	0	0.53384623	Q962
Benin	10/05/20	0	0	0.65247873	Q962
Benin	10/04/20	0	0	0.65247873	Q962
Benin	10/03/20	0	0	0.65247873	Q962
Benin	10/02/20	0	0	0.65247873	Q962
Benin	10/01/20	17	1	0.65247873	Q962
Benin	09/30/20	0	0	0.61858373	Q962
Benin	09/29/20	0	0	0.61858373	Q962
Benin	09/28/20	15	0	0.61858373	Q962
Benin	09/27/20	0	0	0.70332123	Q962
Benin	09/26/20	0	0	0.70332123	Q962
Benin	09/25/20	0	0	0.70332123	Q962
Benin	09/24/20	31	0	0.70332123	Q962
Benin	09/23/20	0	0	0.68637373	Q962
Benin	09/22/20	14	0	0.68637373	Q962
Benin	09/21/20	0	0	0.56774123	Q962
Benin	09/20/20	0	0	0.56774123	Q962
Benin	09/19/20	0	0	0.72874248	Q962
Benin	09/18/20	0	0	0.72874248	Q962
Benin	09/17/20	13	0	0.72874248	Q962
Benin	09/16/20	0	0	1.03379747	Q962
Benin	09/15/20	0	0	1.03379747	Q962
Benin	09/14/20	25	0	1.03379747	Q962
Benin	09/13/20	0	0	0.82195372	Q962
Benin	09/12/20	0	0	0.82195372	Q962
Benin	09/11/20	0	0	0.82195372	Q962
Benin	09/10/20	29	0	0.82195372	Q962
Benin	09/09/20	0	0	0.83042747	Q962
Benin	09/08/20	0	0	0.83042747	Q962
Benin	09/07/20	0	0	0.83042747	Q962
Benin	09/06/20	19	0	0.83042747	Q962
Benin	09/05/20	0	0	0.83890122	Q962
Benin	09/04/20	0	0	0.83890122	Q962
Benin	09/03/20	49	0	1.11006121	Q962
Benin	09/02/20	0	0	0.69484748	Q962
Benin	09/01/20	0	0	0.69484748	Q962
Benin	08/31/20	0	0	0.69484748	Q962
Benin	08/30/20	0	0	0.69484748	Q962
Benin	08/29/20	0	0	1.22021996	Q962
Benin	08/28/20	0	0	1.22021996	Q962
Benin	08/27/20	30	1	1.22021996	Q962
Benin	08/26/20	0	0	0.96600747	Q962
Benin	08/25/20	0	0	1.5168012	Q962
Benin	08/24/20	0	0	1.5168012	Q962
Benin	08/23/20	20	0	1.5168012	Q962
Benin	08/22/20	0	0	1.34732621	Q962
Benin	08/21/20	32	0	1.34732621	Q962
Benin	08/20/20	0	0	1.26258871	Q962
Benin	08/19/20	0	0	1.26258871	Q962
Benin	08/18/20	0	0	2.18622743	Q962
Benin	08/17/20	0	0	2.18622743	Q962
Benin	08/16/20	62	1	2.18622743	Q962
Benin	08/15/20	0	0	1.66085495	Q962
Benin	08/14/20	0	0	1.95743619	Q962
Benin	08/13/20	0	0	1.95743619	Q962
Benin	08/12/20	65	0	1.95743619	Q962
Benin	08/11/20	0	0	1.40664245	Q962
Benin	08/10/20	0	0	1.40664245	Q962
Benin	08/09/20	0	0	2.05064743	Q962
Benin	08/08/20	0	0	2.05064743	Q962
Benin	08/07/20	22	0	2.05064743	Q962
Benin	08/06/20	0	0	2.64380991	Q962
Benin	08/05/20	109	2	2.64380991	Q962
Benin	08/04/20	0	0	1.72017119	Q962
Benin	08/03/20	0	0	1.72017119	Q962
Benin	08/02/20	0	0	1.72017119	Q962
Benin	08/01/20	35	1	1.72017119	Q962
Benin	07/31/20	0	0	2.60144116	Q962
Benin	07/30/20	0	0	3.32170989	Q962
Benin	07/29/20	0	0	3.32170989	Q962
Benin	07/28/20	0	0	3.32170989	Q962
Benin	07/27/20	76	1	3.32170989	Q962
Benin	07/26/20	0	0	2.67770491	Q962
Benin	07/25/20	0	0	3.46576364	Q962
Benin	07/24/20	92	3	3.46576364	Q962
Benin	07/23/20	0	0	2.68617866	Q962
Benin	07/22/20	0	0	3.41492114	Q962
Benin	07/21/20	0	0	3.41492114	Q962
Benin	07/20/20	0	0	3.41492114	Q962
Benin	07/19/20	0	0	3.41492114	Q962
Benin	07/18/20	139	3	3.41492114	Q962
Benin	07/17/20	85	2	2.23706993	Q962
Benin	07/16/20	0	0	1.5168012	Q962
Benin	07/15/20	0	0	1.5168012	Q962
Benin	07/14/20	0	0	1.6184862	Q962
Benin	07/13/20	0	0	1.94048869	Q962
Benin	07/12/20	93	3	2.15233243	Q962
Benin	07/11/20	0	0	1.96590994	Q962
Benin	07/10/20	0	0	2.27096493	Q962
Benin	07/09/20	86	2	3.24544614	Q962
Benin	07/08/20	0	0	2.95733865	Q962
Benin	07/07/20	0	0	3.32170989	Q962
Benin	07/06/20	0	0	3.67760738	Q962
Benin	07/05/20	0	0	4.6520886	Q962
Benin	07/04/20	0	0	4.6520886	Q962
Benin	07/03/20	0	0	5.10119733	Q962
Benin	07/02/20	0	0	5.31304108	Q962
Benin	07/01/20	12	2	5.65199106	Q962
Benin	06/30/20	38	3	5.9655198	Q962
Benin	06/29/20	25	2	5.75367606	Q962
Benin	06/28/20	71	0	6.0333098	Q962
Benin	06/27/20	36	0	5.63504356	Q962
Benin	06/26/20	115	1	6.0333098	Q962
Benin	06/25/20	52	0	5.05882858	Q962
Benin	06/24/20	43	0	4.6181936	Q962
Benin	06/23/20	42	0	4.25382236	Q962
Benin	06/22/20	115	2	4.21145361	Q962
Benin	06/21/20	0	0	3.23697239	Q962
Benin	06/20/20	53	0	3.29628864	Q962
Benin	06/19/20	25	2	2.84717991	Q962
Benin	06/18/20	40	0	2.77938991	Q962
Benin	06/17/20	49	0	2.44043992	Q962
Benin	06/16/20	13	2	2.03369993	Q962
Benin	06/15/20	58	1	2.01675243	Q962
Benin	06/14/20	24	1	1.52527495	Q962
Benin	06/13/20	83	1	1.38969495	Q962
Benin	06/12/20	0	0	0.80500622	Q962
Benin	06/11/20	0	0	0.80500622	Q962
Benin	06/10/20	0	0	0.82195372	Q962
Benin	06/09/20	37	0	0.96600747	Q962
Benin	06/08/20	0	0	0.65247873	Q962
Benin	06/07/20	7	1	1.12700871	Q962
Benin	06/06/20	0	0	1.06769246	Q962
Benin	06/05/20	17	0	1.06769246	Q962
Benin	06/04/20	0	0	0.96600747	Q962
Benin	06/03/20	1	0	0.96600747	Q962
Benin	06/02/20	11	0	-0.81347997	Q962
Benin	06/01/20	0	0	-0.90669122	Q962
Benin	05/31/20	8	0	-0.90669122	Q962
Benin	05/30/20	14	0	-0.97448122	Q962
Benin	05/29/20	0	0	-1.09311371	Q962
Benin	05/28/20	2	0	-0.99142872	Q962
Benin	05/27/20	17	0	-1.00837622	Q962
Benin	05/26/20	0	0	-1.08463996	Q962
Benin	05/25/20	56	0	-1.08463996	Q962
Benin	05/24/20	0	0	-1.26258871	Q962
Benin	05/23/20	0	0	-0.90669122	Q962
Benin	05/22/20	5	1	-0.04236875	Q962
Benin	05/21/20	0	0	0.23726499	Q962
Benin	05/20/20	-209	0	0.28810749	Q962
Benin	05/19/20	0	0	2.05912118	Q962
Benin	05/18/20	0	0	2.10996368	Q962
Benin	05/17/20	0	0	2.10996368	Q962
Benin	05/16/20	0	0	2.10996368	Q962
Benin	05/15/20	12	0	2.16080618	Q962
Benin	05/14/20	0	0	2.18622743	Q962
Benin	05/13/20	8	0	2.22859618	Q962
Benin	05/12/20	0	0	2.16080618	Q962
Benin	05/11/20	35	0	2.16080618	Q962
Benin	05/10/20	42	0	1.91506744	Q962
Benin	05/09/20	102	0	1.55916995	Q962
Benin	05/08/20	38	0	0.69484748	Q962
Benin	05/07/20	6	0	0.40673999	Q962
Benin	05/06/20	0	0	0.35589749	Q962
Benin	05/05/20	6	0	0.35589749	Q962
Benin	05/04/20	0	0	0.44910874	Q962
Benin	05/03/20	0	0	0.44910874	Q962
Benin	05/02/20	6	0	0.44910874	Q962
Benin	05/01/20	15	0	0.39826624	Q962
Benin	04/30/20	5	1	0.28810749	Q962
Benin	04/29/20	0	0	0.24573874	Q962
Benin	04/28/20	0	0	0.24573874	Q962
Benin	04/27/20	6	0	0.24573874	Q962
Benin	04/26/20	0	0	0.19489624	Q962
Benin	04/25/20	0	0	0.19489624	Q962
Benin	04/24/20	4	0	0.23726499	Q962
Benin	04/23/20	0	0	0.23726499	Q962
Benin	04/22/20	0	0	0.23726499	Q962
Benin	04/21/20	17	0	0.23726499	Q962
Benin	04/20/20	0	0	0.12710625	Q962
Benin	04/19/20	0	0	0.17794874	Q962
Benin	04/18/20	0	0	0.17794874	Q962
Benin	04/17/20	2	0	0.20336999	Q962
Benin	04/16/20	0	0	0.18642249	Q962
Benin	04/15/20	0	0	0.22879124	Q962
Benin	04/14/20	0	0	0.24573874	Q962
Benin	04/13/20	0	0	0.24573874	Q962
Benin	04/12/20	0	0	0.24573874	Q962
Benin	04/11/20	5	0	0.24573874	Q962
Benin	04/10/20	4	0	0.20336999	Q962
Benin	04/09/20	0	0	0.17794874	Q962
Benin	04/08/20	0	0	0.17794874	Q962
Benin	04/07/20	4	1	0.17794874	Q962
Benin	04/06/20	6	0	0.16947499	Q962
Benin	04/05/20	0	0	0.1186325	Q962
Benin	04/04/20	3	0	0.1186325	Q962
Benin	04/03/20	0	0	0.09321125	Q962
Benin	04/02/20	5	0	0.101685	Q962
Benin	04/01/20	2	0	0.05931625	Q962
Benin	03/31/20	0	0	0.04236875	Q962
Benin	03/30/20	0	0	0.0508425	Q962
Benin	03/29/20	0	0		Q962
Benin	03/28/20	0	0		Q962
Benin	03/27/20	1	0		Q962
Benin	03/26/20	0	0		Q962
Benin	03/25/20	0	0		Q962
Benin	03/24/20	3	0		Q962
Benin	03/23/20	0	0		Q962
Benin	03/22/20	0	0		Q962
Benin	03/21/20	0	0		Q962
Benin	03/20/20	1	0		Q962
Benin	03/19/20	0	0		Q962
Benin	03/18/20	0	0		Q962
Benin	03/17/20	1	0		Q962
Bermuda	10/28/20	1	0	14.39815704	Q23635
Bermuda	10/27/20	2	0	14.39815704	Q23635
Bermuda	10/26/20	0	0	11.19856658	Q23635
Bermuda	10/25/20	1	0	11.19856658	Q23635
Bermuda	10/24/20	2	0	9.59877136	Q23635
Bermuda	10/23/20	0	0	6.3991809	Q23635
Bermuda	10/22/20	0	0	9.59877136	Q23635
Bermuda	10/21/20	3	0	11.19856658	Q23635
Bermuda	10/20/20	0	0	6.3991809	Q23635
Bermuda	10/19/20	0	0	6.3991809	Q23635
Bermuda	10/18/20	0	0	6.3991809	Q23635
Bermuda	10/17/20	0	0	6.3991809	Q23635
Bermuda	10/16/20	0	0	6.3991809	Q23635
Bermuda	10/15/20	0	0	6.3991809	Q23635
Bermuda	10/14/20	1	0	6.3991809	Q23635
Bermuda	10/13/20	0	0	4.79938568	Q23635
Bermuda	10/12/20	0	0	4.79938568	Q23635
Bermuda	10/11/20	0	0	4.79938568	Q23635
Bermuda	10/10/20	0	0	4.79938568	Q23635
Bermuda	10/09/20	2	0	4.79938568	Q23635
Bermuda	10/08/20	1	0	1.59979523	Q23635
Bermuda	10/07/20	0	0	1.59979523	Q23635
Bermuda	10/06/20	0	0	1.59979523	Q23635
Bermuda	10/05/20	0	0	1.59979523	Q23635
Bermuda	10/04/20	0	0	1.59979523	Q23635
Bermuda	10/03/20	0	0	4.79938568	Q23635
Bermuda	10/02/20	0	0	4.79938568	Q23635
Bermuda	10/01/20	0	0	4.79938568	Q23635
Bermuda	09/30/20	0	0	6.3991809	Q23635
Bermuda	09/29/20	0	0	6.3991809	Q23635
Bermuda	09/28/20	0	0	6.3991809	Q23635
Bermuda	09/27/20	0	0	6.3991809	Q23635
Bermuda	09/26/20	0	0	6.3991809	Q23635
Bermuda	09/25/20	0	0	6.3991809	Q23635
Bermuda	09/24/20	1	0	6.3991809	Q23635
Bermuda	09/23/20	0	0	7.99897613	Q23635
Bermuda	09/22/20	0	0	7.99897613	Q23635
Bermuda	09/21/20	0	0	7.99897613	Q23635
Bermuda	09/20/20	2	0	7.99897613	Q23635
Bermuda	09/19/20	0	0	6.3991809	Q23635
Bermuda	09/18/20	0	0	6.3991809	Q23635
Bermuda	09/17/20	1	0	9.59877136	Q23635
Bermuda	09/16/20	0	0	7.99897613	Q23635
Bermuda	09/15/20	0	0	7.99897613	Q23635
Bermuda	09/14/20	0	0	12.79836181	Q23635
Bermuda	09/13/20	0	0	12.79836181	Q23635
Bermuda	09/12/20	0	0	14.39815704	Q23635
Bermuda	09/11/20	0	0	14.39815704	Q23635
Bermuda	09/10/20	2	0	14.39815704	Q23635
Bermuda	09/09/20	0	0	11.19856658	Q23635
Bermuda	09/08/20	0	0	11.19856658	Q23635
Bermuda	09/07/20	0	0	12.79836181	Q23635
Bermuda	09/06/20	1	0	12.79836181	Q23635
Bermuda	09/05/20	0	0	11.19856658	Q23635
Bermuda	09/04/20	2	0	12.79836181	Q23635
Bermuda	09/03/20	0	0	9.59877136	Q23635
Bermuda	09/02/20	0	0	9.59877136	Q23635
Bermuda	09/01/20	3	0	9.59877136	Q23635
Bermuda	08/31/20	0	0	11.19856658	Q23635
Bermuda	08/30/20	1	0	11.19856658	Q23635
Bermuda	08/29/20	0	0	14.39815704	Q23635
Bermuda	08/28/20	0	0	14.39815704	Q23635
Bermuda	08/27/20	0	0	14.39815704	Q23635
Bermuda	08/26/20	0	0	14.39815704	Q23635
Bermuda	08/25/20	1	0	14.39815704	Q23635
Bermuda	08/24/20	0	0	14.39815704	Q23635
Bermuda	08/23/20	0	0	15.99795226	Q23635
Bermuda	08/22/20	1	0	15.99795226	Q23635
Bermuda	08/21/20	0	0	14.39815704	Q23635
Bermuda	08/20/20	0	0	14.39815704	Q23635
Bermuda	08/19/20	0	0	14.39815704	Q23635
Bermuda	08/18/20	4	0	14.39815704	Q23635
Bermuda	08/17/20	0	0	9.59877136	Q23635
Bermuda	08/16/20	3	0	9.59877136	Q23635
Bermuda	08/15/20	0	0	4.79938568	Q23635
Bermuda	08/14/20	0	0	4.79938568	Q23635
Bermuda	08/13/20	0	0	4.79938568	Q23635
Bermuda	08/12/20	0	0	4.79938568	Q23635
Bermuda	08/11/20	1	0	7.99897613	Q23635
Bermuda	08/10/20	1	0	6.3991809	Q23635
Bermuda	08/09/20	0	0	6.3991809	Q23635
Bermuda	08/08/20	0	0	6.3991809	Q23635
Bermuda	08/07/20	0	0	6.3991809	Q23635
Bermuda	08/06/20	0	0	6.3991809	Q23635
Bermuda	08/05/20	0	0	6.3991809	Q23635
Bermuda	08/04/20	1	0	6.3991809	Q23635
Bermuda	08/03/20	0	0	4.79938568	Q23635
Bermuda	08/02/20	0	0	4.79938568	Q23635
Bermuda	08/01/20	0	0	6.3991809	Q23635
Bermuda	07/31/20	0	0	6.3991809	Q23635
Bermuda	07/30/20	0	0	9.59877136	Q23635
Bermuda	07/29/20	2	0	9.59877136	Q23635
Bermuda	07/28/20	0	0	6.3991809	Q23635
Bermuda	07/27/20	1	0	6.3991809	Q23635
Bermuda	07/26/20	0	0	4.79938568	Q23635
Bermuda	07/25/20	0	0	4.79938568	Q23635
Bermuda	07/24/20	0	0	6.3991809	Q23635
Bermuda	07/23/20	0	0	6.3991809	Q23635
Bermuda	07/22/20	0	0	7.99897613	Q23635
Bermuda	07/21/20	0	0	11.19856658	Q23635
Bermuda	07/20/20	0	0	11.19856658	Q23635
Bermuda	07/19/20	1	0	11.19856658	Q23635
Bermuda	07/18/20	0	0	9.59877136	Q23635
Bermuda	07/17/20	2	0	9.59877136	Q23635
Bermuda	07/16/20	0	0	6.3991809	Q23635
Bermuda	07/15/20	0	0	6.3991809	Q23635
Bermuda	07/14/20	0	0	6.3991809	Q23635
Bermuda	07/13/20	0	0	6.3991809	Q23635
Bermuda	07/12/20	0	0	6.3991809	Q23635
Bermuda	07/11/20	1	0	6.3991809	Q23635
Bermuda	07/10/20	0	0	4.79938568	Q23635
Bermuda	07/09/20	1	0	4.79938568	Q23635
Bermuda	07/08/20	2	0	3.19959045	Q23635
Bermuda	07/07/20	0	0	0.0	Q23635
Bermuda	07/06/20	0	0	0.0	Q23635
Bermuda	07/05/20	0	0	0.0	Q23635
Bermuda	07/04/20	0	0	0.0	Q23635
Bermuda	07/03/20	0	0	3.19959045	Q23635
Bermuda	07/02/20	0	0	3.19959045	Q23635
Bermuda	07/01/20	0	0	3.19959045	Q23635
Bermuda	06/30/20	0	0	3.19959045	Q23635
Bermuda	06/29/20	0	0	3.19959045	Q23635
Bermuda	06/28/20	0	0	3.19959045	Q23635
Bermuda	06/27/20	0	0	6.3991809	Q23635
Bermuda	06/26/20	0	0	7.99897613	Q23635
Bermuda	06/25/20	0	0	7.99897613	Q23635
Bermuda	06/24/20	0	0	7.99897613	Q23635
Bermuda	06/23/20	0	0	7.99897613	Q23635
Bermuda	06/22/20	0	0	7.99897613	Q23635
Bermuda	06/21/20	0	0	7.99897613	Q23635
Bermuda	06/20/20	2	0	7.99897613	Q23635
Bermuda	06/19/20	0	0	4.79938568	Q23635
Bermuda	06/18/20	0	0	4.79938568	Q23635
Bermuda	06/17/20	0	0	4.79938568	Q23635
Bermuda	06/16/20	0	0	4.79938568	Q23635
Bermuda	06/15/20	0	0	6.3991809	Q23635
Bermuda	06/14/20	2	0	6.3991809	Q23635
Bermuda	06/13/20	1	0	3.19959045	Q23635
Bermuda	06/12/20	0	0	1.59979523	Q23635
Bermuda	06/11/20	0	0	3.19959045	Q23635
Bermuda	06/10/20	0	0	3.19959045	Q23635
Bermuda	06/09/20	0	0	12.79836181	Q23635
Bermuda	06/08/20	0	0	12.79836181	Q23635
Bermuda	06/07/20	0	0	12.79836181	Q23635
Bermuda	06/06/20	0	0	20.79733794	Q23635
Bermuda	06/05/20	0	0	25.59672362	Q23635
Bermuda	06/04/20	0	0	25.59672362	Q23635
Bermuda	06/03/20	0	0	25.59672362	Q23635
Bermuda	06/02/20	1	0	25.59672362	Q23635
Bermuda	06/01/20	0	0	27.19651885	Q23635
Bermuda	05/31/20	0	0	27.19651885	Q23635
Bermuda	05/30/20	0	0	27.19651885	Q23635
Bermuda	05/29/20	1	0	28.79631407	Q23635
Bermuda	05/28/20	0	0	28.79631407	Q23635
Bermuda	05/27/20	6	0	28.79631407	Q23635
Bermuda	05/26/20	0	0	22.39713317	Q23635
Bermuda	05/25/20	0	0	23.99692839	Q23635
Bermuda	05/24/20	5	0	23.99692839	Q23635
Bermuda	05/23/20	3	0	15.99795226	Q23635
Bermuda	05/22/20	0	0	11.19856658	Q23635
Bermuda	05/21/20	0	0	11.19856658	Q23635
Bermuda	05/20/20	0	0	15.99795226	Q23635
Bermuda	05/19/20	2	0	15.99795226	Q23635
Bermuda	05/18/20	0	0	12.79836181	Q23635
Bermuda	05/17/20	0	0	14.39815704	Q23635
Bermuda	05/16/20	1	0	14.39815704	Q23635
Bermuda	05/15/20	1	1	12.79836181	Q23635
Bermuda	05/14/20	0	0	15.99795226	Q23635
Bermuda	05/13/20	2	0	17.59774749	Q23635
Bermuda	05/12/20	1	1	14.39815704	Q23635
Bermuda	05/11/20	0	0	14.39815704	Q23635
Bermuda	05/10/20	0	0	30.3961093	Q23635
Bermuda	05/09/20	0	0	30.3961093	Q23635
Bermuda	05/08/20	0	0	30.3961093	Q23635
Bermuda	05/07/20	3	0	30.3961093	Q23635
Bermuda	05/06/20	0	0	27.19651885	Q23635
Bermuda	05/05/20	0	0	46.39406156	Q23635
Bermuda	05/04/20	1	0	46.39406156	Q23635
Bermuda	05/03/20	0	1	44.79426633	Q23635
Bermuda	05/02/20	0	0	49.59365201	Q23635
Bermuda	05/01/20	3	0	49.59365201	Q23635
Bermuda	04/30/20	1	0	47.99385679	Q23635
Bermuda	04/29/20	0	0	84.78914699	Q23635
Bermuda	04/28/20	1	1	84.78914699	Q23635
Bermuda	04/27/20	10	0	83.18935176	Q23635
Bermuda	04/26/20	0	0	78.38996608	Q23635
Bermuda	04/25/20	0	0	81.58955654	Q23635
Bermuda	04/24/20	0	0	81.58955654	Q23635
Bermuda	04/23/20	1	0	95.98771357	Q23635
Bermuda	04/22/20	12	0	94.38791835	Q23635
Bermuda	04/21/20	0	0	75.19037563	Q23635
Bermuda	04/20/20	0	0	78.38996608	Q23635
Bermuda	04/19/20	3	0	78.38996608	Q23635
Bermuda	04/18/20	0	0	76.79017086	Q23635
Bermuda	04/17/20	2	0	76.79017086	Q23635
Bermuda	04/16/20	24	0	78.38996608	Q23635
Bermuda	04/15/20	0	1	39.99488066	Q23635
Bermuda	04/14/20	0	0	47.99385679	Q23635
Bermuda	04/13/20	7	0	55.99283292	Q23635
Bermuda	04/12/20	2	0	44.79426633	Q23635
Bermuda	04/11/20	0	0	49.59365201	Q23635
Bermuda	04/10/20	9	1	52.79324246	Q23635
Bermuda	04/09/20	0	1	52.79324246	Q23635
Bermuda	04/08/20	0	0	52.79324246	Q23635
Bermuda	04/07/20	2	2	52.79324246	Q23635
Bermuda	04/06/20	0	0	49.59365201	Q23635
Bermuda	04/05/20	2	0	55.99283292	Q23635
Bermuda	04/04/20	0	0	52.79324246	Q23635
Bermuda	04/03/20	3	0	52.79324246	Q23635
Bermuda	04/02/20	0	0	51.19344724	Q23635
Bermuda	04/01/20	5	0		Q23635
Bermuda	03/31/20	5	0		Q23635
Bermuda	03/30/20	0	0		Q23635
Bermuda	03/29/20	5	0		Q23635
Bermuda	03/28/20	2	0		Q23635
Bermuda	03/27/20	9	0		Q23635
Bermuda	03/26/20	0	0		Q23635
Bermuda	03/25/20	0	0		Q23635
Bermuda	03/24/20	0	0		Q23635
Bermuda	03/23/20	4	0		Q23635
Bermuda	03/22/20	0	0		Q23635
Bermuda	03/21/20	0	0		Q23635
Bermuda	03/20/20	2	0		Q23635
Bhutan	10/28/20	3	0	4.19345454	Q917
Bhutan	10/27/20	0	0	4.3245	Q917
Bhutan	10/26/20	2	0	4.3245	Q917
Bhutan	10/25/20	4	0	4.45554545	Q917
Bhutan	10/24/20	0	0	3.93136363	Q917
Bhutan	10/23/20	4	0	4.19345454	Q917
Bhutan	10/22/20	1	0	3.66927272	Q917
Bhutan	10/21/20	1	0	4.06240909	Q917
Bhutan	10/20/20	3	0	4.06240909	Q917
Bhutan	10/19/20	2	0	3.80031818	Q917
Bhutan	10/18/20	9	0	5.50390909	Q917
Bhutan	10/17/20	0	0	4.3245	Q917
Bhutan	10/16/20	0	0	4.45554545	Q917
Bhutan	10/15/20	3	0	4.45554545	Q917
Bhutan	10/14/20	4	0	4.19345454	Q917
Bhutan	10/13/20	0	0	3.80031818	Q917
Bhutan	10/12/20	3	0	4.71763636	Q917
Bhutan	10/11/20	0	0	4.586590900000001	Q917
Bhutan	10/10/20	2	0	5.63495454	Q917
Bhutan	10/09/20	0	0	5.37286363	Q917
Bhutan	10/08/20	4	0	5.63495454	Q917
Bhutan	10/07/20	1	0	5.11077272	Q917
Bhutan	10/06/20	1	0	4.97972727	Q917
Bhutan	10/05/20	15	0	4.84868181	Q917
Bhutan	10/04/20	0	0	3.14509091	Q917
Bhutan	10/03/20	1	0	3.27613636	Q917
Bhutan	10/02/20	0	0	3.93136363	Q917
Bhutan	10/01/20	1	0	4.71763636	Q917
Bhutan	09/30/20	1	0	4.586590900000001	Q917
Bhutan	09/29/20	7	0	4.45554545	Q917
Bhutan	09/28/20	2	0	3.66927272	Q917
Bhutan	09/27/20	8	0	3.53822727	Q917
Bhutan	09/26/20	0	0	2.883	Q917
Bhutan	09/25/20	2	0	3.27613636	Q917
Bhutan	09/24/20	0	0	3.53822727	Q917
Bhutan	09/23/20	0	0	3.53822727	Q917
Bhutan	09/22/20	0	0	3.66927272	Q917
Bhutan	09/21/20	2	0	4.06240909	Q917
Bhutan	09/20/20	1	0	4.06240909	Q917
Bhutan	09/19/20	6	0	3.93136363	Q917
Bhutan	09/18/20	6	0	3.27613636	Q917
Bhutan	09/17/20	0	0	2.48986363	Q917
Bhutan	09/16/20	0	0	2.48986363	Q917
Bhutan	09/15/20	1	0	2.75195454	Q917
Bhutan	09/14/20	1	0	2.75195454	Q917
Bhutan	09/13/20	3	0	6.42122727	Q917
Bhutan	09/12/20	3	0	6.0280909000000005	Q917
Bhutan	09/11/20	4	0	7.07645454	Q917
Bhutan	09/10/20	0	0	6.68331818	Q917
Bhutan	09/09/20	1	0	7.99377272	Q917
Bhutan	09/08/20	3	0	10.09049999	Q917
Bhutan	09/07/20	2	0	9.82840908	Q917
Bhutan	09/06/20	0	0	9.56631817	Q917
Bhutan	09/05/20	1	0	9.82840908	Q917
Bhutan	09/04/20	0	0	9.69736363	Q917
Bhutan	09/03/20	0	0	10.09049999	Q917
Bhutan	09/02/20	2	0	10.48363635	Q917
Bhutan	09/01/20	1	0	10.3525909	Q917
Bhutan	08/31/20	29	0	10.87677272	Q917
Bhutan	08/30/20	0	0	8.12481817	Q917
Bhutan	08/29/20	11	0	8.12481817	Q917
Bhutan	08/28/20	1	0	6.94540908	Q917
Bhutan	08/27/20	10	0	7.20749999	Q917
Bhutan	08/26/20	17	0	7.86272727	Q917
Bhutan	08/25/20	1	0	5.63495454	Q917
Bhutan	08/24/20	0	0	5.89704545	Q917
Bhutan	08/23/20	2	0	6.15913636	Q917
Bhutan	08/22/20	0	0	5.89704545	Q917
Bhutan	08/21/20	3	0	5.89704545	Q917
Bhutan	08/20/20	3	0	5.89704545	Q917
Bhutan	08/19/20	1	0	5.50390909	Q917
Bhutan	08/18/20	5	0	5.63495454	Q917
Bhutan	08/17/20	8	0	4.97972727	Q917
Bhutan	08/16/20	0	0	4.06240909	Q917
Bhutan	08/15/20	2	0	4.19345454	Q917
Bhutan	08/14/20	3	0	3.93136363	Q917
Bhutan	08/13/20	15	0	3.53822727	Q917
Bhutan	08/12/20	0	0	1.83463636	Q917
Bhutan	08/11/20	3	0	1.83463636	Q917
Bhutan	08/10/20	2	0	1.96568182	Q917
Bhutan	08/09/20	0	0	1.96568182	Q917
Bhutan	08/08/20	0	0	2.09672727	Q917
Bhutan	08/07/20	3	0	2.09672727	Q917
Bhutan	08/06/20	0	0	1.70359091	Q917
Bhutan	08/05/20	2	0	1.70359091	Q917
