Country	Christian	Muslim	Irreligion	Hindu	Buddhist	Folkreligion	Otherreligion	Jewish	ID	id_row
Serbia	92.5	4.2	3.3	0.0	0.0	0.0	0.0	0.0	Q403	172
Andorra	89.5	0.8	8.8	0.5	0.0	0.0	0.1	0.3	Q228	173
Gibraltar	88.8	4.0	2.9	1.8	0.0	0.0	0.3	2.1	Q1410	174
Italy	83.3	3.7	12.4	0.1	0.2	0.1	0.1	0.08	Q38	175
Malta	97.0	0.2	2.5	0.2	0.0	0.0	0.0	0.0	Q233	176
Portugal	93.8	0.6	4.4	0.1	0.6	0.5	0.0	0.0	Q45	177
San Marino	91.6	0.0	7.2	0.0	0.0	0.0	0.9	0.3	Q238	178
Spain	78.6	2.1	19.0	0.04	0.0	0.04	0.02	0.1	Q29	179
Vatican City	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Q237	180
Belgium	64.25	5.9	29.0	0.0	0.2	0.2	0.0	0.3	Q31	181
France	63.0	7.5	28.0	0.05	0.5	0.3	0.2	0.5	Q142	182
Ireland	92.0	1.1	6.2	0.2	0.2	0.2	0.0	0.0	Q27	183
Isle of Man	84.1	0.2	15.4	0.2	0.0	0.0	0.0	0.0	Q9676	184
Luxembourg	70.4	2.3	26.8	0.0	0.0	0.0	0.3	0.1	Q32	185
Monaco	86.0	0.4	11.7	0.0	0.0	0.0	0.2	1.7	Q235	186
Netherlands	50.6	6.0	42.1	0.5	0.2	0.2	0.2	0.2	Q55	187
United Kingdom	71.1	4.4	21.3	1.3	0.4	0.3	0.8	0.5	Q145	188
Australia	67.0	2.8	24.2	1.2	2.7	0.7	0.8	0.5	Q408	189
New Zealand	57.0	1.2	36.6	2.1	1.6	0.5	0.7	0.2	Q664	190
Fiji	64.4	6.4	0.8	27.9	0.0	0.0	0.5	0.0	Q712	191
New Caledonia	85.2	2.8	10.4	0.0	0.6	0.2	0.8	0.0	Q33788	192
Papua New Guinea	99.2	3.0	0.0	0.0	0.0	0.4	0.2	0.0	Q691	193
Solomon Islands	97.4	0.1	0.2	0.0	0.3	1.3	0.7	0.0	Q685	194
Vanuatu	93.3	0.1	1.2	0.0	0.0	4.1	1.4	0.0	Q686	195
Guam	94.2	0.1	1.6	0.0	1.1	1.5	1.6	0.0	Q16635	196
Kiribati	97.0	0.2	0.8	0.0	0.0	0.0	2.0	0.0	Q710	197
Marshall Islands	97.5	0.2	1.5	0.0	0.0	0.1	0.8	0.0	Q709	198
Micronesia	95.2	0.1	1.0	0.0	0.4	2.6	0.7	0.0	Q702	199
Nauru	79.0	0.01	4.5	0.0	1.1	8.1	7.4	0.0	Q697	200
Northern Mariana Islands	81.3	0.7	1.0	0.0	10.6	5.3	1.1	0.0	Q16644	201
Palau	86.8	0.1	1.2	0.0	0.8	0.8	10.2	0.0	Q695	202
American Samoa	98.3	0.1	0.7	0.0	0.3	0.4	0.3	0.0	Q16641	203
Cook Islands	96.0	0.0	3.2	0.0	0.0	0.0	0.8	0.0	Q26988	204
French Polynesia	94.0	0.1	4.8	0.0	0.0	0.5	0.4	0.0	Q30971	205
Niue	96.4	0.1	3.2	0.0	0.0	0.0	0.2	0.0	Q34020	206
Samoa	96.8	0.1	2.5	0.0	0.0	0.0	0.3	0.0	Q683	207
Tokelau	99.8	0.0	0.0	0.0	0.0	0.0	0.2	0.0	Q36823	208
Tonga	99.0	0.1	0.0	0.1	0.0	0.0	0.8	0.0	Q678	209
Tuvalu	99.8	0.2	0.0	0.0	0.0	0.0	0.0	0.0	Q672	210
Wallis and Futuna	97.4	0.0	0.6	0.0	0.0	1.2	0.8	0.0	Q35555	211
