Country	70yearsold	5069yearsold	1549yearsold	ID	id_row
Switzerland	7.0	171.0	3.0	Q39	171
Syria	3.0	296.0	8.0	Q858	172
Taiwan	12.0	722.0	11.0	Q865	173
Tajikistan	1.0	56.0	2.0	Q863	174
Tanzania	5.0	428.0	14.0	Q924	175
Thailand	29438.0	2084.0	28.0	Q869	176
Timor	169.0	22.0		Q574	177
Togo	520.0	56.0	3.0	Q945	178
Tonga	29.0	2.0		Q678	179
Trinidad and Tobago	439.0	30.0		Q754	180
Tunisia	3729.0	208.0	3.0	Q948	181
Turkey	23.0	1915.0	22.0	Q43	182
Turkmenistan	1.0	53.0	2.0	Q874	183
Uganda	2.0	212.0	7.0	Q1036	184
Ukraine	33.0	1423.0	32.0	Q212	185
United Arab Emirates	174.0	98.0	7.0	Q878	186
United Kingdom	62.0	1542.0	38.0	Q145	187
United States	250.0	8551.0	279.0	Q30	188
United States Virgin Islands	48.0	4.0		Q11703	189
Uruguay	2.0	63.0	3.0	Q77	190
Uzbekistan	4.0	271.0	7.0	Q265	191
Vanuatu	41.0	6.0		Q686	192
Venezuela	6435.0	453.0	10.0	Q717	193
Vietnam	26.0	185.0	33.0	Q881	194
Wales	3.0	80.0	2.0	Q25	195
Yemen	2.0	307.0	7.0	Q805	196
Zambia	1.0	126.0	5.0	Q953	197
Zimbabwe	1.0	104.0	4.0	Q954	198
