Country	Current	Public	Outofpocket	Percapita	PercapitaPPP	ID	id_row
Slovak Republic	6.7	79.1	18.7	1186.1	2184.2	Q214	147
Slovenia	8.2	71.8	12.3	1920.3	2960.6	Q215	148
Solomon Islands	4.7	71.2	5.4	101.2	115.2	Q685	149
South Africa	8.1	53.7	7.8	499.2	1097.8	Q258	150
South Sudan	9.8	8.4	19.2	22.9	175.8	Q958	151
Spain	8.9	70.6	23.6	2506.5	3468.7	Q29	152
Sri Lanka	3.8	42.9	49.8	159.5	503.6	Q854	153
St. Kitts and Nevis	5.0	46.6	47.8	902.7	1442.1	Q763	154
St. Lucia	4.5	49.0	44.8	460.1	662.3	Q760	155
St. Vincent and the Grenadines	4.5	64.3	31.2	320.6	528.1	Q757	156
Sudan	6.3	18.0	72.5	193.8	313.7	Q1049	157
Suriname	6.2	58.6	26.4	339.3	946.4	Q730	158
Sweden	11.0	83.7	15.0	5904.6	5699.6	Q34	159
Switzerland	12.3	30.5	28.9	9956.3	8217.0	Q39	160
Tajikistan	7.2	29.0	63.2	57.9	231.4	Q863	161
Tanzania	3.6	43.2	24.1	33.9	104.3	Q924	162
Thailand	3.7	76.1	11.1	247.0	670.9	Q869	163
Timor-Leste	3.9	66.0	8.3	83.2	263.8	Q574	164
Togo	6.2	17.7	58.4	38.0	103.7	Q945	165
Tonga	5.3	58.3	10.6	222.0	335.3	Q678	166
Trinidad and Tobago	7.0	53.2	39.8	1124.1	2205.8	Q754	167
Tunisia	7.2	57.1	39.1	250.6	863.3	Q948	168
Turkey	4.2	77.7	17.4	444.7	1180.6	Q43	169
Turkmenistan	6.9	22.3	72.8	456.5	1249.6	Q874	170
Tuvalu	17.1	72.6	0.5	622.2	694.3	Q672	171
Uganda	6.2	15.7	39.1	38.4	121.2	Q1036	172
Ukraine	7.0	44.0	52.3	177.4	584.6	Q212	173
United Arab Emirates	3.3	72.0	18.9	1357.0	2468.5	Q878	174
United Kingdom	9.6	79.4	16.0	3858.7	4338.4	Q145	175
United States	17.1	50.2	11.0	10246.1	10246.1	Q30	176
Uruguay	9.3	70.8	17.5	1591.5	2101.9	Q77	177
Uzbekistan	6.4	43.3	53.4	98.8	447.9	Q265	178
Vanuatu	3.3	61.5	9.0	105.7	110.4	Q686	179
Venezuela, RB	1.2	15.9	63.0	94.2	141.0	Q717	180
Vietnam	5.5	48.6	45.3	129.6	375.6	Q881	181
Yemen, Rep.	4.2	10.2	81.0	72.0	139.0	Q805	182
Zambia	4.5	38.6	11.8	67.6	180.3	Q953	183
Zimbabwe	6.6	51.6	20.6	110.1	201.0	Q954	184
